, those
nationally, within
nations, For
native, languages
natural, progression
nature, 
nave, that
naysayers, dont
near, bankruptcy
nearly, the
necessary, to
necessity, to
need, an
needed, to
needs, to
negative, mail
negotiate, a
neighborhoods, and
neighbors, who
net, around
network, that
never, have
new, employees
news, the
newspaper, by
next, and
nice, suits
night, The
ninety, percent
ninetyfive, percent
no, connection
noble, idea
nobody, in
nominate, John
nomination, But
nominee, of
nonbelievers, We
noncontroversial, issue
nor, did
normal, and
not, how
nothing, to
noticed, that
notices, issued
noting, Virginia
notion, Of
notsoyoung, people
nourish, starved
now, they
nuclear, weapons
nuisance, requirement
number, of
numbers, In
nurses, and
nurture, a
oath, So
obamaspeechescom, Barack
objections, issued
objectively, speaking
obligation, to
obscure, in
obstacle, that
obstacles, can
obtaining, nuclear
obvious, ideological
occasion, is
occasions, when
occupying, Iraq
occurred, since
oceans, began
oclock, in
odds, An
of, politics
off, this
offer, two
offered, Instead
offering, tenpoint
offers, the
office, but
offices, if
officials, come
often, think
oil, We
okay, Mr
old, lady
older, people
oldest, alliances
oldfashioned, conventions
olds, who
on, terrorism
once, again
one, US
ones, who
only, to
open, and
opened, up
operates, in
operatives, purge
opinions, find
opponent, as
opponents, to
opportunities, weve
opportunity, to
opposed, this
option, is
options, left
or, a
order, for
ordered, these
ordinary, people
organization, in
organize, and
organized, the
organizer, and
organizers, and
organizing, our
original, cosponsor
originally, offered
other, way
others, burdens
otherwise, is
our, courts
ours, has
ourselves, with
out, later
outcome, of
outflanked, by
outlast, us
outnumber, the
outside, and
outsourced, Thats
over, Thank
overcome, There
overseas, and
oversight, responsibilities
overstayed, their
overstays, is
overstretched, our
owe, special
own, governments
owner, but
ownership, may
pack, up
packed, up
page, Weve
paid, sick
paint, your
palaces, to
parent, Now
parents, family
park, 
parliaments, and
part, about
participate, 
participation, of
particular, are
particularly, long
partied, a
parties, working
partisan, bickering
partisanship, and
partner, in
partnerships, to
parts, of
party, or
partying, we
pass, this
passage, like
passed, the
passion, may
past, few
pastors, and
pat, of
patchwork, heritage
path, my
patience, it
patriotism, as
patriots, brought
patrol, faroff
pay, the
paycheck, despite
paying, attention
pays, the
peace, Finally
peaceful, protestors
pedigree, and
penalties, for
penalty, system
penny, of
pension, for
pensions, are
people, like
peoples, heads
percent, of
perfect, union
perfected, And
perfecting, our
peril, the
perils, we
perished, from
persevere, through
perseveres, Over
persevering, in
person, willing
personal, they
pettiness, and
petty, or
phased, in
philosophy, 
phone, calls
physical, scars
pick, up
picket, lines
piece, of
pieces, and
pioneers, to
pit, us
pitch, in
place, I
places, I
plagued, by
plains, of
plan, to
planes, in
planet, we
plans, and
plant, closings
plate, numbers
play, a
playbook, So
players, and
playing, in
please, Instead
pleased, that
pleasures, of
pledge, once
plenty, of
plot, But
plowed, the
plummet, More
plus, 
pockets, of
point, in
points, Our
pointscoring, in
poisoned, our
police, never
policies, and
policy, that
political, purposes
politicians, a
politics, is
polling, equipment
polls, for
pollution, and
pool, of
poor, information
poorest, neighborhoods
poorly, thought
population, Look
porches, in
posing, as
positions, and
possessions, and
possibility, stretching
possible, All
potential, 
poured, everything
pouring, down
poverty, of
power, to
powerful, idea
pray, to
preacher, cried
precious, gift
precisely, what
preclearance, requirement
predominantly, AfricanAmerican
prefer, Spanish
preference, for
pregnancies, in
premiums, for
prepare, the
presidency, 
president, will
presidential, election
presidents, first
pressed, on
pressure, I
presumptuousness, 
pretend, that
prevail, after
prevent, eligible
prevented, frivolous
prevention, by
previous, draft
price, and
prices, high
pride, in
primarily, at
primary, concern
principle, goal
principles, that
printed, in
priorities, Well
prison, for
prisoners, at
privacy, and
private, information
privatize, Social
privilege, for
proAmerica, than
probably, saw
problem, of
problems, are
proceedings, has
proceeds, to
process, that
proclaim, an
procrastinating, about
production, of
productive, than
professional, Ive
proficient, in
profits, in
profound, humility
programs, alone
progress, these
progression, But
prohibitions, on
proliferation, poverty
promise, alive
promised, Lets
promises, fade
promote, the
promotions, because
proposals, into
propose, hundreds
proposed, that
prosecuting, this
prosper, long
prosperity, Lets
prosperous, The
protect, citizens
protected, from
protecting, the
protection, of
protections, of
protestors, demanding
proud, of
prove, their
proved, once
provide, a
provided, adequate
providing, the
provision, so
provisions, to
prudent, use
public, life
publics, dollars
pull, themselves
pulled, up
punch, your
puppy, thats
purge, voters
purporting, to
purpose, to
purposeful, more
purposes, instead
pursue, And
push, us
pushes, us
put, ourselves
puts, reason
putting, off
qualified, to
qualities, that
quality, if
quest, if
question, Instead
questionable, documents
questions, about
quiet, force
quit, We
quitting, 
quote, actions
quoted, at
race, Not
racial, strife
radios, in
raging, storms
railroads, to
rain, if
raining, even
raise, her
raised, my
raises, her
rallied, to
rallies, town
rally, the
rare, united
rather, cut
rats, dont
ravaged, by
raw, so
reach, up
reached, an
reaching, for
read, to
reading, And
ready, to
reaffirm, that
reaffirming, the
real, military
reality, of
realize, that
realizing, that
really, change
reason, its
reasons, to
reauthorization, of
reauthorized, in
reauthorizing, the
rebelled, angry
rebuild, our
rebuilding, the
receive, her
received, a
receives, the
recent, case
recession, and
reclaim, the
reclaiming, the
recognition, on
recognize, there
recommendations, from
record, their
records, not
recover, what
recriminations, and
recruit, a
recruitment, tool
recycle, that
red, ink
reduce, the
reducing, the
reenlist, after
reflect, our
reflected, our
reflects, the
refocus, our
reform, in
reforms, that
refreshing, display
refusal, to
refuse, to
refused, to
refusing, to
refutes, that
regard, to
region, faith
registered, through
registration, databases
regrouping, in
regulations, that
reign, of
reject, workers
rejected, the
relative, plenty
relief, to
relies, It
religion, to
remain, locked
remained, faithful
remains, undiminished
remake, the
remaking, this
remember, having
remembrance, of
remind, myself
reminded, of
reminding, our
reminds, us
remove, our
rendered, by
renew, our
renewable, sources
renewal, of
renewed, sense
renewing, Section
repair, The
repeat, violators
replace, diplomacy
report, authored
reports, from
representative, of
request, so
require, tough
required, of
requirement, to
requirements, like
requires, not
research, and
reserves, invest
reshapes, our
resist, the
resolve, the
resolves, to
resources, to
respect, that
respond, is
responsibilities, and
responsibility, and
responsible, for
responsibly, and
rest, of
restaurant, can
restore, prosperity
restored, our
restoring, our
restraint, We
result, the
results, The
retirement, And
retires, We
retool, so
return, to
returned, to
reveal, itself
reverse, that
review, process
revisions, to
revolution, was
revolve, around
reward, the
rewarded, by
rewards, not
rich, thin
riches, and
richest, nation
right, folks
righteousness, like
rightful, place
rights, of
rise, above
risen, up
rises, or
rising, copayments
risk, an
risking, life
risks, and
risktakers, the
rites, of
rivals, I
river, The
road, will
roads, and
rock, of
rocky, coasts
rode, with
role, in
roll, down
rolled, into
rolling, up
rolls, for
room, As
rooms, in
rounded, up
route, to
row, of
rows, of
rubble, of
rugged, path
ruined, my
rule, of
rules, of
run, through
running, for
rural, towns
rushed, through
s, The
sacred, commitment
sacrifice, their
sacrificed, the
sacrifices, for
sad, part
safe, thing
safely, harness
safer, and
safety, and
said, Let
sake, of
salaries, and
salary, and
salute, this
salvation, And
same, fears
samesex, marriage
sanctions, have
sapping, of
sat, where
satisfying, to
save, a
saved, Yes
savings, they
saw, some
say, they
saying, that
says, is
scale, of
scarcely, imagine
scare, the
scars, from
scene, What
scholarships, When
school, My
schools, if
science, and
scientific, research
scorching, heat
score, cheap
scoring, cheap
screen, and
scripture, tucked
scriptures, that
search, of
season, of
seat, at
secession, we
second, attack
secretarial, pool
secretary, and
secure, and
secured, our
security, But
see, the
seeing, today
seek, That
seeking, a
seeks, to
seem, to
seemed, like
seen, the
sees, our
segregation, and
seize, gladly
selfish, impulses
selfless, leader
selflessness, of
selfmade, Springfield
selfreliance, individual
selves, and
senator, from
send, billions
senior, senator
sensational, and
sense, of
sensible, plans
sent, to
sentiments, 
separated, from
series, of
serious, Administration
seriously, we
seriousness, that
servants, and
serve, political
served, it
service, requirement
services, no
serving, as
set, aside
setbacks, But
sets, I
settle, thats
settled, by
settling, for
seven, centuryold
shadow, of
shake, off
shaking, hands
shall, always
shame, you
shape, an
shaped, me
share, and
shared, prosperity
sharing, in
shattered, glass
she, said
shed, businesses
shell, tell
shes, a
shift, after
shifted, beneath
ship, jobs
shipped, off
shocked, I
shoes, to
shopkeepers, 
shores, we
short, while
shortcuts, or
shot, if
should, be
shoulder, each
shoulders, we
shouldnt, have
shouldve, never
show, for
showed, up
showing, a
shown, what
shows, a
shrugged, their
shut, you
shuttered, Our
sick, and
side, of
sides, of
sight, unseen
sights, John
sign, up
signed, into
significantly, reduce
signing, up
silenced, and
silencing, of
silently, as
silly, season
similar, promises
simple, powerful
simply, more
since, the
single, chance
singular, but
sip, of
sister, whos
sisters, that
sit, facing
sits, on
sitting, next
six, years
sixteen, of
sixty, years
size, of
skeptical, of
skepticism, After
skewed, priorities
skies, of
skill, or
skilled, And
skin, And
sky, when
skyrocketing, cost
slate, of
slaughtered, and
slaughtering, innocents
slave, and
slavery, he
sleep, in
sleeps, just
sleepy, maybe
sleeves, and
slide, into
sloppy, and
slough, off
slow, and
slumber, and
small, victories
smaller, our
smallness, of
smart, and
smarter, to
smiles, and
smoke, but
snow, was
snows, of
so, that
soaked, so
sober, adult
social, and
societys, ills
soil, to
solar, power
soldiers, who
solely, on
solution, Not
solutions, And
solve, all
solved, by
somberness, and
some, of
somebody, elses
someday, watch
somehow, left
someone, threw
something, bigger
somewhere, along
son, could
sons, Now
soon, we
sore, I
sort, out
soul, because
sound, policies
source, of
sources, of
south, side
sow, conflict
span, And
spanned, race
speak, more
speaking, that
special, thanks
specifically, designed
specter, of
speech, that
speeches, but
spell, out
spend, the
spending, their
spent, weeks
spewing, hatred
spilled, a
spin, out
spirit, That
spite, of
spoke, as
spoken, on
sponsoring, this
spread, it
spur, the
squandered, the
st, century
staff, and
staffs, have
stage, and
stagnant, wages
stained, with
stairway, filled
stakes, are
stale, tactics
stalls, our
stamps, but
stand, and
standards, would
standing, in
stands, a
start, bringing
started, It
starting, today
starts, here
startups, that
starved, bodies
state, troopers
statement, And
states, have
statesmen, of
statewide, registration
station, we
statistics, Less
status, by
stay, in
stayed, up
stealing, my
steamrolled, by
steel, mill
steelplant, closings
steelworker, the
steep, We
step, in
steps, of
still, havent
stir, up
stirring, What
stock, market
stoked, the
stones, at
stood, up
stop, kneel
stopgap, measure
stopped, us
stories, that
storm, a
storms, may
story, to
straight, talk
strained, our
strange, discordant
stranger, in
strangers, from
strangled, our
strategies, to
strategist, David
strategy, and
stream, Each
street, tossing
streets, and
strength, her
strengthen, civil
strengthening, our
stretched, block
stretches, from
stretching, before
strict, prohibitions
strife, threatened
strikes, and
striking, evidence
strong, leaders
stronger, military
struck, me
structure, of
struggle, to
struggled, and
struggles, facing
struggling, paycheck
stubborn, refusal
stuck, with
student, newspaper
students, have
studied, just
study, more
sturdy, alliances
subject, of
subscribed, to
substitute, that
substituting, bluster
suburbs, of
succeed, Lets
success, in
succumb, to
such, documents
suddenly, I
suffering, from
suffers, 
suggest, that
suit, Thats
suits, and
sum, of
summon, a
sums, up
sun, and
sunlight, in
sunset, provision
sunshine, of
support, whatever
supporters, that
supposed, to
sure, that
surely, we
surest, route
surplus, while
survived, war
survivethat, the
suspected, of
suspects, of
suspending, but
sustaining, ourselves
sweatshops, and
sweeping, ethics
swept, away
swift, and
swiftly, as
swill, of
system, of
table, and
tackle, big
tackles, our
tactics, when
take, a
taken, the
takes, to
taking, the
talented, qualified
talk, you
talked, about
talking, about
tall, gangly
tank, of
tanks, but
tap, our
targeting, the
task, to
tasted, the
taught, constitutional
tax, cut
taxes, and
teach, them
teachers, and
teaches, us
team, ever
tear, apart
technology, We
technologys, wonders
teenagers, and
television, sets
tell, the
telling, us
tells, us
temperament, and
tempering, qualities
temptation, to
ten, years
tendency, in
tenpoint, plans
tensions, fade
term, Lets
terms, of
terrible, and
terror, whatsoever
terrorism, When
terrorist, connections
terrorists, The
test, is
tested, by
textbooks, and
th, That
than, politics
thank, you
thanks, to
that, cooler
thats, not
the, silly
their, innocence
them, and
themafter, all
themselves, at
then, I
theory, but
there, 
theres, an
these, detainees
they, essentially
theyd, pick
theyll, make
theyre, all
thin, young
thing, unconstitutional
things, that
think, about
thinking, that
thinks, that
third, lesson
thirteen, innocent
thirty, year
this, provision
those, very
though, Presidents
thought, through
thousand, miles
threat, to
threaten, our
threatened, to
threatens, our
threats, of
three, in
threw, a
thriving, Wall
through, the
throughout, all
thunder, I
ticket, You
tides, of
tied, to
tighten, the
till, their
time, to
timed, to
timeless, creed
times, you
tips, can
tired, too
tirelessly, to
to, success
today, and
todays, world
together, in
toiled, in
told, the
tolerance, and
tolerate, too
toll, in
tomorrow, I
tone, that
tonight, should
too, tough
took, the
tool, And
tools, are
top, diplomat
torn, apart
torture, we
tortured, only
tossing, stones
touched, her
tough, on
tour, of
tout, moments
toward, you
towards, that
town, hall
towns, all
toys, safe
traced, to
track, down
trade, deficits
traditional, values
tragic, mistake
trail, and
train, our
training, that
transform, a
transforming, how
transition, Fortyfour
trapped, in
trashed, a
travel, anywhere
traveled, And
travelers, beyond
treat, each
treatment, to
trend, is
trial, America
tribe, shall
tribunals, has
trickles, down
tried, Not
triple, the
trips, to
trivial, our
troopers, on
troops, home
troubling, trend
true, for
truly, stand
trumpet, those
trunks, And
trust, in
truth, we
truths, to
try, them
trying, What
tuck, them
tucked, inside
tucks, her
tuition, thats
turf, battles
turmoil, and
turn, away
turned, to
turning, point
turns, to
twentieth, century
twenty, years
twentyfirst, century
twentyone, months
twentysix, of
two, years
twohundred, and
twoyear, olds
typical, pedigree
tyranny, of
ultimate, victory
ultimately, the
umbrella, blows
unable, to
unauthorized, workers
uncertain, that
uncertainties, in
unclench, your
unconstitutional, which
uncover, their
under, the
undercuts, American
undermining, those
understand, But
understanding, that
understood, that
undiminished, But
undocumented, workers
unevenly, and
unfinished, business
unfold, before
unfolds, before
unfulfilled, I
unguarded, weapons
unified, a
uniform, and
unimpeded, access
uninsured, thats
union, and
unions, and
uniquely, qualified
unite, in
united, front
unity, born
universal, health
universe, is
universities, and
unlikely, journey
unmatched, but
unnecessary, We
unpleasant, decisions
unseen, motivated
until, we
untold, opportunity
unwanted, pregnancies
unyielding, faith
up, and
upheld, the
uphold, the
upholding, the
upon, whose
urge, my
us, to
use, of
used, to
uses, religion
usher, in
ushering, in
using, technology
vacant, lot
valor, by
values, is
variety, of
various, generals
vehicle, of
verification, system
verse, of
very, virtues
veterans, 
victories, And
victory, lap
video, game
views, and
village, where
violate, any
violators, Weve
violence, We
virtue, let
virtues, of
visas, And
visible, is
vision, of
visions, of
visit, the
vital, trust
voice, So
voices, calling
void, The
volunteer, in
volunteered, and
volunteers, decided
vote, and
voted, in
voter, if
voters, who
votes, to
voting, rights
votingage, population
wage, that
waged, I
wages, are
wagon, to
waited, And
waiting, for
waitress, who
wake, me
waking, up
walk, in
walked, arminarm
walks, of
wall, came
wallowing, in
want, to
wanted, to
wanting, to
wants, it
war, At
warming, into
warned, of
wars, a
was, all
wasnt, possible
watch, the
watched, their
watchful, eye
watching, the
water, and
waters, flow
wave, if
waver, in
wavering, to
way, We
ways, of
we, can
weak, of
weakened, a
weaker, and
weakness, We
wealth, but
wealthiest, few
wealthy, few
weapons, We
weary, travelers
wedge, and
week, Its
weeks, our
welcomed, immigrants
welfare, to
well, as
wellknown, but
welloff, or
wellpaying, jobs
wellstructured, bill
went, back
were, sloppy
werent, simply
west, we
wet, and
weve, reached
what, we
whatever, tools
whats, lacking
whatsoever, Weve
wheelchair, lift
when, our
where, you
whether, you
which, is
while, we
whiners, They
whip, and
whisper, from
white, girl
whites, teenagers
who, worked
whole, thing
whos, smart
whose, shoulders
whove, turned
why, we
wide, to
widened, the
wield, technologys
wife, shell
will, lead
willing, to
willingness, to
win, that
wind, power
winds, and
wine, or
winning, this
winter, must
wisely, reform
with, this
within, 
without, asking
withstand, the
witness, what
woman, cleaning
women, 
womens, voices
won, The
wonder, where
wondered, if
wonders, if
wont, its
word, Tomorrow
words, to
work, during
worked, in
worker, whos
workers, This
workforce, is
working, together
workplace, arrests
workplaces, and
works, And
world, Time
worldclass, education
worldly, possessions
worlds, deadliest
worldthat, in
worn, the
wornout, ideas
worse, than
worst, Thats
would, approach
wouldnt, have
wouldve, prevented
write, a
wrong, and
wrote, back
year, Many
yearn, for
yearold, man
years, saying
yes, we
yet, we
you, Mr
youll, be
young, President
your, graduation
youre, willing
yours, Will
yourself, persevering
youth, 
youve, got
